Season,Date,Team,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,OwnSP(optional)
2021,2021-06-28,日本ハム,西川,高濱,近藤,王,野村,渡邉,万波,石川亮,中島卓也,バーヘイゲン
2021,2021-06-29,日本ハム,西川,高濱,近藤,王,野村,渡邉,万波,石川亮,石井,立野
2021,2021-06-30,日本ハム,西川,高濱,近藤,王,野村,渡邉,万波,石川亮,石井,伊藤
2021,2021-07-02,日本ハム,淺間,西川,高濱,近藤,王,野村,渡邉,石井,石川亮,上沢
2021,2021-07-03,日本ハム,淺間,西川,高濱,近藤,野村,渡邉,万波,石井,清水,池田
2021,2021-07-05,日本ハム,淺間,高濱,近藤,王,渡邉,野村,万波,石井,清水,加藤
2021,2021-07-06,日本ハム,淺間,西川,高濱,近藤,王,渡邉,野村,石井,清水,アーリン
2021,2021-07-08,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,万波,石井,石川亮,伊藤
2021,2021-07-09,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,万波,清水,石井,上沢
2021,2021-07-12,日本ハム,淺間,西川,高濱,近藤,王,渡邉,野村,石井,清水,池田
2021,2021-07-13,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,万波,石井,石川亮,加藤
2021,2021-08-12,日本ハム,淺間,西川,高濱,近藤,王,渡邉,野村,石井,石川亮,加藤
2021,2021-08-13,日本ハム,淺間,西川,高濱,近藤,渡邉,野村,大田,石井,清水,上沢
2021,2021-08-14,日本ハム,淺間,西川,高濱,近藤,王,郡,R.ロドリゲス,中島卓也,清水,バーヘイゲン
2021,2021-08-17,日本ハム,西川,近藤,野村,王,淺間,高濱,石井,渡邉,清水,河野
2021,2021-08-19,日本ハム,西川,近藤,野村,王,高濱,淺間,佐藤,石井,清水,加藤
2021,2021-08-20,日本ハム,西川,近藤,野村,王,淺間,R.ロドリゲス,佐藤,石井,石川亮,伊藤
2021,2021-08-21,日本ハム,西川,淺間,野村,近藤,王,高濱,R.ロドリゲス,中島卓也,清水,上沢
2021,2021-08-23,日本ハム,淺間,西川,野村,近藤,王,高濱,R.ロドリゲス,中島卓也,清水,バーヘイゲン
2021,2021-08-24,日本ハム,郡,佐藤,近藤,野村,高濱,木村,大田,中島卓也,清水,河野
2021,2021-08-26,日本ハム,淺間,西川,野村,近藤,高濱,木村,佐藤,中島卓也,清水,池田
2021,2021-08-27,日本ハム,淺間,西川,野村,近藤,王,高濱,R.ロドリゲス,石井,石川亮,加藤
2021,2021-08-28,日本ハム,淺間,西川,野村,近藤,王,高濱,R.ロドリゲス,石井,清水,伊藤
2021,2021-08-30,日本ハム,西川,木村,近藤,野村,高濱,大田,佐藤,石井,清水,上沢
2021,2021-08-31,日本ハム,西川,木村,近藤,野村,高濱,淺間,佐藤,石井,清水,バーヘイゲン
2021,2021-09-01,日本ハム,淺間,西川,野村,近藤,王,郡,石井,R.ロドリゲス,清水,河野
2021,2021-09-02,日本ハム,西川,佐藤,近藤,野村,高濱,淺間,大田,中島卓也,石川亮,池田
2021,2021-09-03,日本ハム,淺間,西川,野村,近藤,高濱,木村,佐藤,石井,清水,加藤
2021,2021-09-04,日本ハム,淺間,西川,野村,近藤,高濱,木村,佐藤,石井,清水,立野
2021,2021-09-06,日本ハム,淺間,西川,野村,近藤,高濱,佐藤,郡,石井,清水,伊藤
2021,2021-09-07,日本ハム,淺間,西川,野村,近藤,王,佐藤,R.ロドリゲス,石井,清水,上沢
2021,2021-09-08,日本ハム,淺間,西川,野村,近藤,王,高濱,佐藤,中島卓也,清水,バーヘイゲン
2021,2021-09-09,日本ハム,西川,佐藤,近藤,野村,王,淺間,高濱,石井,宇佐見,河野
2021,2021-09-10,日本ハム,淺間,西川,野村,近藤,王,高濱,佐藤,石井,清水,加藤
2021,2021-09-11,日本ハム,松本剛,西川,高濱,野村,佐藤,今川,木村,清水,中島卓也,立野
2021,2021-09-13,日本ハム,淺間,西川,野村,王,高濱,佐藤,石井,今川,清水,池田
2021,2021-09-14,日本ハム,淺間,西川,野村,王,高濱,佐藤,石井,今川,清水,伊藤
2021,2021-09-15,日本ハム,松本剛,西川,野村,王,高濱,淺間,R.ロドリゲス,石井,清水,上沢
2021,2021-09-17,日本ハム,淺間,西川,野村,近藤,王,高濱,石井,佐藤,清水,バーヘイゲン
2021,2021-09-18,日本ハム,松本剛,西川,野村,近藤,高濱,佐藤,石井,今川,清水,加藤
2021,2021-09-19,日本ハム,淺間,西川,野村,近藤,王,高濱,佐藤,石井,清水,河野
2021,2021-09-21,日本ハム,淺間,西川,野村,近藤,王,高濱,石井,佐藤,石川亮,伊藤
2021,2021-09-22,日本ハム,松本剛,西川,野村,近藤,高濱,淺間,R.ロドリゲス,清水,中島卓也,立野
2021,2021-09-23,日本ハム,淺間,西川,野村,近藤,王,高濱,R.ロドリゲス,中島卓也,清水,上沢
2021,2021-09-24,日本ハム,淺間,西川,野村,近藤,王,高濱,佐藤,石井,清水,バーヘイゲン
2021,2021-09-25,日本ハム,松本剛,西川,野村,近藤,高濱,淺間,佐藤,石井,清水,加藤
2021,2021-09-27,日本ハム,松本剛,西川,野村,近藤,高濱,淺間,佐藤,清水,石井,河野
2021,2021-09-28,日本ハム,五十幡,西川,野村,近藤,王,高濱,石井,佐藤,石川亮,伊藤
2021,2021-09-29,日本ハム,松本剛,西川,野村,近藤,R.ロドリゲス,佐藤,今川,清水,中島卓也,金子
2021,2021-09-30,日本ハム,松本剛,西川,野村,近藤,高濱,淺間,佐藤,清水,谷内,立野
2021,2021-10-01,日本ハム,松本剛,西川,野村,近藤,王,R.ロドリゲス,高濱,宇佐見,谷内,バーヘイゲン
2021,2021-10-02,日本ハム,五十幡,松本剛,近藤,野村,高濱,淺間,佐藤,中島卓也,清水,加藤
